UCASS_ID,Diameter_um,conc_cm3,dlnDp,dN_dlnDp
1,0.7765307463326871,1.0094178832090588,0.7866174318850698,1.283238639639684
1,1.7052272575818157,0.06806032384652828,0.3738035488461632,0.18207511420534464
1,2.4781242906682466,0.01608176428441175,0.23182353174545012,0.06937071557545788
1,3.1246599815019875,0.005552037669618342,0.16034992074022725,0.034624511468345824
1,3.668105778191245,0.0023931196851803196,0.12614007270043248,0.018971922513979292
1,4.161249812255929,0.001340147023700979,0.11718121745949905,0.01143653439310075
1,4.678589531044587,0.0016273213859226174,0.09508676603831989,0.01711406806354954
1,5.145298825141257,0.0005743487244432768,0.08555133659458325,0.006713497968652919
1,5.604863959098383,0.0005743487244432768,0.07827103597966678,0.007337947137846506
1,6.061188002363893,0.00047862393703606394,0.07302971284020932,0.006553824716294641
1,6.520398760812102,0.00038289914962885116,0.06696470129001275,0.005717925149409387
1,6.971986804347811,9.572478740721279e-05,0.0624077642274905,0.0015338602270428107
1,7.420956811624765,0.00019144957481442558,0.061515385556726976,0.0031122226266123067
1,7.891793205602894,9.572478740721279e-05,0.31841601702368205,0.000300628053519347
1,10.85080642164443,0.0007657982992577023,0.31841601702368205,0.002405024428154776
2,4.069004792329446,0.025941417387354664,0.09987830930802821,0.2597302414015682
2,4.496398558846847,0.0336951251673389,0.18644446883677568,0.18072472397578912
2,5.417970099585268,0.02067655407995796,0.21022078114886078,0.09835637545898258
2,6.685506712284417,0.011774148851087173,0.21256893685343492,0.055389790368125996
2,8.268978171455045,0.00794515735479866,0.2645185804149639,0.030036292128646253
2,10.772854774849607,0.006413560756283257,0.25019083230245354,0.02563467532867055
2,13.835259303677686,0.0020102205355514687,0.23010128534519714,0.00873624209676075
2,17.414821273846023,0.0011486974488865535,0.28335732041829553,0.004053883087230047
2,23.11955881932006,0.0007657982992577023,0.19751277268639367,0.0038772089968764686
2,28.16814512885078,9.572478740721279e-05,0.09004262660783713,0.0010631052315268766
2,30.822173836379548,9.572478740721279e-05,0.08049720492478984,0.0011891690835309173
2,33.4058677480469,0.0,0.061647864389605456,0.0
2,35.530071770262445,0.0,0.12840342106962455,0.0
2,40.3981039159018,0.0,0.1930181213649984,0.0
2,48.99905305207439,0.00019144957481442558,0.1930181213649984,0.0009918735788148787
6,0.6280127387243033,0.3256557267593379,0.18518689414844708,1.7585246961282803
6,0.7557777451076474,0.7317202749407345,0.40218640783508486,1.8193560515371119
6,1.1299557513460428,0.20714843994920848,0.4628847379143495,0.44751624536719653
6,1.7951044537853502,0.12626099459011367,0.2199756420896667,0.5739771612470032
6,2.23678340480253,0.09476753953314065,0.14266039813305065,0.6642876423543748
6,2.579767431378263,0.05485030318433293,0.25115746704904096,0.21839009538037293
6,3.316323265304515,0.030823381545122517,0.2511392815937661,0.1227342108710071
6,4.263097465458654,0.015507415559968471,0.21705535309256452,0.07144452020658179
6,5.296527164095356,0.010816900977015044,0.24324887575836285,0.04446845208756597
6,6.755116579304905,0.0038289914962885115,0.2436475631778987,0.015715287468287882
6,8.618816624107977,0.0024888444725875325,0.2501077223269874,0.009951090072035646
6,11.067971810589329,0.0014358718111081917,0.253777487448934,0.005657995220703423
6,14.265342617687105,0.0010529726614793406,0.27301915776086627,0.003856772067261393
6,18.743596239782804,0.00019144957481442558,0.3009414296375823,0.0006361688885607557
6,25.325038993059813,0.0,0.3009414296375823,0.0
