Diameter_um,conc_cm3,dlnDp,dN_dlnDp
0.10373,0.0,0.0719551558939617,0.0
0.111469,0.0,0.07195772398652825,0.0
0.119786,0.0,0.0719581417381656,0.0
0.128723,0.0,0.07195681498259295,0.0
0.138327,0.0,0.07195577939585643,0.0
0.148647,0.0,0.07195413270628256,0.0
0.159737,0.1920302760576422,0.07195614045768566,2.6687128414088166
0.171655,11.350723871751839,0.07195738370665934,157.74230922602845
0.184462,41.705055694195266,0.07195552792613497,579.5948816747904
0.198224,51.0098738167718,0.07195485825149107,708.9149371747217
0.213013,39.76923305515365,0.0719546829731976,552.6983291687533
0.228905,31.479465320909775,0.07195664822793804,437.4782052270118
0.245984,27.48426618785809,0.07195697543422867,381.9541611081155
0.264336,25.185167293246135,0.07195421454071896,350.0165689251437
0.284057,24.195275568030553,0.07195504590128957,336.25543928110994
0.30525,15.806333241507028,0.07195592709542172,219.66686942336298
0.328024,4.631208203021008,0.07195549929349783,64.36211614807739
0.352497,2.3877921002372826,0.07195683254749513,33.183674373954965
0.378797,1.2465990462411016,0.07195678492712769,17.32427383329538
0.407058,0.8651010347821054,0.07195469659930835,12.022857098537484
0.437427,0.7129039041611204,0.07195552342116508,9.907563315027266
0.470063,0.6194186226054748,0.07195596310227889,8.608301465231273
0.505133,0.599852457896869,0.07195552249565491,8.336433912116913
0.54282,0.459910373285491,0.07195622279091411,6.391530231122189
0.583319,0.343930050350136,0.07195597804230544,4.779728657818083
0.626839,0.26634038775392094,0.07195558186643554,3.7014555486230916
0.673606,0.22449691185832515,0.07195551856631538,3.1199401565207974
0.723862,0.20265733549395218,0.07195573686094216,2.816416651886937
0.777868,0.18169803808090743,0.07195590558088483,2.525130308820347
0.835903,0.17171342786040855,0.07195581039187646,2.3863733439349097
0.898268,0.15555066959893513,0.07195592642072274,2.161749244800742
0.965286,0.14141222987441404,0.07195592691894365,1.965261736308546
1.037304,0.12965606574454536,0.07195583669377954,1.8018839291150082
1.114695,0.12039467098790438,0.0719557959077238,1.673175447080019
1.19786,0.10351774871230973,0.07195589896717695,1.4386276899900852
1.28723,0.09815563169164881,0.07195573059442094,1.3641113901671547
1.383267,0.08328399791654609,0.07195577939585643,1.1574330598014757
1.48647,0.0680205208634759,0.07195584312309794,0.9453092050788744
1.597372,0.06538520631981017,0.07195555789348261,0.9086887550312837
1.716548,0.060258122576537995,0.07195567344268948,0.8374339324963969
1.844616,0.05298032525030384,0.07195585825038396,0.7362892548088138
1.982239,0.03886960009259795,0.07195594248681775,0.5401861020682039
2.13013,0.037954507784015275,0.07195580893729595,0.5274696837483929
2.289054,0.031035813415128184,0.07195563190064003,0.43131875289461713
2.459835,0.03303863533769315,0.07195572340354309,0.45915229220065534
2.643358,0.02737822327681,0.07195575893076787,0.38048689477588465
2.840573,0.02182919497656114,0.07195575180805057,0.30336970190781665
3.052502,0.02177089067654378,0.07195585631607561,0.30255898256442487
3.280243,0.021223505989929968,0.07195588091866878,0.29495165258165273
3.524975,0.01892808843104346,0.07195584727652582,0.2630514287227131
3.787966,0.019005121824179638,0.07195583003643953,0.26412205674724554
4.070578,0.012997781121592684,0.07195568180581159,0.18063592471641207
4.374274,0.013007270096649112,0.0719556627177301,0.1807678451614633
4.700629,0.014515468487759706,0.0719558028347481,0.20172755936162046
5.051333,0.011925195902540656,0.07195581308748404,0.16572943019964176
5.428202,0.011474277446611494,0.07195584012310725,0.15946276809471574
5.833189,0.011078229064181953,0.07195579381920827,0.15395881938314007
6.26839,0.00853860524335899,0.07195574181019668,0.11866468232489273
6.736061,0.006866396203483997,0.071955794861997,0.09542520121767761
7.238624,0.006424679668962323,0.07195579119007985,0.08928648497506979
7.778682,0.005907215695352739,0.07195580873182932,0.08209504971819892
8.359033,0.005955113143121707,0.07195579316071506,0.08276071851255691
8.982682,0.00530048961166734,0.07195579877221385,0.07366313350848598
9.652861,0.0037744175010127902,0.0719557673917258,0.052454690399797076
10.373039,0.004315960414375831,0.07195574004034125,0.05998076612034192
11.146949,0.0028451796978991835,0.07195580236849648,0.0395406569622918
11.978599,0.0033569049134787887,0.07195578845008552,0.04665232618231145
12.872296,0.0018129498234851552,0.07195577233552765,0.025195335476790152
13.83267,0.001439682852016899,0.07195580022130446,0.02000787771922578
14.864696,0.002383115921060246,0.07195578052026881,0.03311917268952367
15.973718,0.0021710237860987328,0.07195577982512094,0.030171638628267536
17.165483,0.001500699114532091,0.07195576315143033,0.020855857110067495
18.446161,0.0011041680652815558,0.0719557708657103,0.015345093965322723
19.82239,0.00117526014236935,0.07195582148991397,0.01633307935389336
21.301296,0.0012652375716187278,0.071955787094211,0.01758354154283887
22.890539,0.0013552150008681058,0.07195576644476326,0.018834001329253225
24.598352,0.001469631344406505,0.07195578307729528,0.020424089372049765
26.433582,0.0004254482319578678,0.07195579841809889,0.005912633051276876
