Diameter_um,conc_cm3,dlnDp,dN_dlnDp
0.3349626844888845,22.477961773051018,0.22047332275833098,101.95320455023916
0.417025179095939,4.897993589387556,0.21778160817282444,22.49039131670231
0.5188785985179963,1.5238702608800256,0.21926507198563872,6.949899713073476
0.6461106716345119,0.5362690791340243,0.21933665971195387,2.4449587216212976
0.8041996020889342,0.2907904850760682,0.21841672477384713,1.3313563115514997
1.0009740256370292,0.31898110851988437,0.21934593701040453,1.4542375977757624
1.246493882857032,0.17835990601952956,0.21937639285424226,0.8130314465423596
1.5521636511656882,0.22161392578153877,0.21925389719893754,1.0107639071083871
1.9324057544936053,0.15837863995220924,0.21897784290650738,0.7232633121691177
2.4060049875260026,0.08892548505874132,0.21942607491407717,0.4052639828405204
2.9959898197423835,0.054129758712272706,0.2191878794771336,0.24695598516395018
3.73008927507104,0.0390663623940797,0.21912712053348105,0.17828173116577162
4.644080533324115,0.027576581214172655,0.21919535416847555,0.12580823767358246
5.781788823538958,0.019571904580891246,0.21904407541018633,0.08935144465441718
7.198224225460054,0.01068765394298527,0.21919840539926885,0.04875790005642495
8.962142600963231,0.010853611302348395,0.2191515300446723,0.04952560130488696
