UCASS_ID,Diameter_um,Mean_per_bin_conc_cm3
1,0.7765307463326871,1.7918251478417857
1,1.7052272575818157,0.11622028835428888
1,2.4781242906682466,0.026894428817866065
1,3.1246599815019875,0.0075845883552923465
1,3.668105778191245,0.004402594303536388
1,4.161249812255929,0.0016625242700980152
1,4.678589531044587,0.002680849666148732
1,5.145298825141257,0.0009181603680513675
1,5.604863959098383,0.0005453346450411662
1,6.061188002363893,0.000683317845734238
1,6.520398760812102,0.0005833221813284268
1,6.971986804347811,8.533923198104789e-05
1,7.420956811624765,0.00017317444279630148
1,7.891793205602894,0.0003294491281128825
1,10.85080642164443,0.0008195193969460574
2,4.069004792329446,0.04189727858950331
2,4.496398558846847,0.050796207087720126
2,5.417970099585268,0.03330569871895249
2,6.685506712284417,0.017781025230761225
2,8.268978171455045,0.01105816078122149
2,10.772854774849607,0.0140445281140218
2,13.835259303677686,0.00253335894558802
2,17.414821273846023,0.0021143923075614903
2,23.11955881932006,0.0010066040791212119
2,28.16814512885078,9.90651224395381e-05
2,30.822173836379548,9.139556457325126e-05
2,33.4058677480469,0.0
2,35.530071770262445,0.0
2,40.3981039159018,0.0
2,48.99905305207439,0.00025686171032537376
6,0.6280127387243033,0.5518964452477505
6,0.7557777451076474,1.153874990152302
6,1.1299557513460428,0.3333065993657948
6,1.7951044537853502,0.18848523318067936
6,2.23678340480253,0.14259387796822975
6,2.579767431378263,0.08924242181422282
6,3.316323265304515,0.04765850113718633
6,4.263097465458654,0.02831624066832165
6,5.296527164095356,0.01597338522700184
6,6.755116579304905,0.009371831119281696
6,8.618816624107977,0.003953877189825191
6,11.067971810589329,0.001778351164504421
6,14.265342617687105,0.0013850752361951736
6,18.743596239782804,0.00036965966984383187
6,25.325038993059813,0.0
