Diameter_um,dN_dlnDp
0.10373,0.0
0.111469,0.0
0.119786,0.0
0.128723,0.0
0.138327,0.0
0.148647,0.0
0.159737,2.6215173992617933
0.171655,160.0486407143661
0.184462,611.6491893126006
0.198224,792.3355352847329
0.213013,653.294451714841
0.228905,536.7548375781932
0.245984,474.6593951367904
0.264336,430.79532325881604
0.284057,359.860805897805
0.30525,186.2491049327573
0.328024,47.4113821864291
0.352497,21.91810847495711
0.378797,10.363411076393831
0.407058,6.977497417204665
0.437427,5.73906266580014
0.470063,5.414131302840227
0.505133,5.229866018389459
0.54282,4.191454164482665
0.583319,3.3056277447790205
0.626839,2.674252842705432
0.673606,2.5328427862147342
0.723862,2.531389320951258
0.777868,2.258198607809857
0.835903,2.374211415606542
0.898268,2.090050670444192
0.965286,2.041163203804322
1.037304,1.8061145536259546
1.114695,1.7967292142936846
1.19786,1.6518686480813263
1.28723,1.5879891484792763
1.383267,1.522328345274696
1.48647,1.3129636055293432
1.597372,1.2299146325763244
1.716548,1.0401116674070225
1.844616,0.8573412548535955
1.982239,0.7347237783059987
2.13013,0.6752744507004452
2.289054,0.5541721391131056
2.459835,0.49059066856486777
2.643358,0.5194331938515279
2.840573,0.4625546520689908
3.052502,0.39974665546158794
3.280243,0.4128874115645318
3.524975,0.36700373236719763
3.787966,0.32125442817561417
4.070578,0.290770375876995
4.374274,0.239243427197244
4.700629,0.23798771050503695
5.051333,0.19665406613642683
5.428202,0.17779722070103895
5.833189,0.14629838085702723
6.26839,0.14097487368917308
6.736061,0.11121859741795169
7.238624,0.11054054338799481
7.778682,0.09358342413797706
8.359033,0.06673564306777684
8.982682,0.0732808746611251
9.652861,0.0652002254735733
10.373039,0.04625379163060066
11.146949,0.038077809775606014
11.978599,0.06888750641858592
12.872296,0.05263089605284796
13.83267,0.02733532915792108
14.864696,0.027352148042309496
15.973718,0.028175906921807884
17.165483,0.018638243464052618
18.446161,0.018582203457856727
19.82239,0.01975338392795875
21.301296,0.02126081544594067
22.890539,0.02277945165776351
24.598352,0.024707153540882397
26.433582,0.007133635688820213
