Diameter_um,Mean_dN
0.10373,0.0
0.111469,0.0
0.119786,0.0
0.128723,0.0
0.138327,0.0
0.148647,0.0
0.159737,0.1886342741935484
0.171655,11.516681451612902
0.184462,44.01154032258064
0.198224,57.01239112903226
0.213013,47.007595161290325
0.228905,38.62307903225807
0.245984,34.15505443548387
0.264336,30.997539112903226
0.284057,25.893800806451612
0.30525,13.401727016129032
0.328024,3.411509677419355
0.352497,1.5771576612903224
0.378797,0.7457177419354838
0.407058,0.5020637096774193
0.437427,0.4129572580645161
0.470063,0.3895790322580645
0.505133,0.3763177419354839
0.54282,0.3016012096774194
0.583319,0.23785967741935485
0.626839,0.19242741935483867
0.673606,0.18225201612903227
0.723862,0.18214798387096776
0.777868,0.16249072580645163
0.835903,0.17083830645161294
0.898268,0.1503915322580645
0.965286,0.14687379032258066
1.037304,0.12996048387096773
1.114695,0.1292850806451613
1.19786,0.11886169354838709
1.28723,0.11426491935483872
1.383267,0.10954032258064518
1.48647,0.09447540322580647
1.597372,0.0884991935483871
1.716548,0.07484193548387097
1.844616,0.06169072580645162
1.982239,0.052867741935483874
2.13013,0.04858991935483871
2.289054,0.03987580645161291
2.459835,0.035300806451612904
2.643358,0.03737620967741936
2.840573,0.03328346774193549
3.052502,0.028764112903225805
3.280243,0.029709677419354836
3.524975,0.026408064516129027
3.787966,0.023116129032258063
4.070578,0.02092258064516129
4.374274,0.017214919354838706
4.700629,0.01712459677419355
5.051333,0.014150403225806454
5.428202,0.012793548387096775
5.833189,0.010527016129032259
6.26839,0.010143951612903226
6.736061,0.008002822580645162
7.238624,0.007954032258064516
7.778682,0.0067338709677419355
8.359033,0.004802016129032258
8.982682,0.0052729838709677426
9.652861,0.004691532258064516
10.373039,0.0033282258064516127
11.146949,0.0027399193548387096
11.978599,0.0049568548387096765
12.872296,0.0037870967741935485
13.83267,0.001966935483870968
14.864696,0.0019681451612903224
15.973718,0.002027419354838709
17.165483,0.0013411290322580646
18.446161,0.0013370967741935483
19.82239,0.0014213709677419356
21.301296,0.0015298387096774192
22.890539,0.0016391129032258063
24.598352,0.0017778225806451616
26.433582,0.0005133064516129033
