Diameter_um,Mean_dN
0.3349626844888845,22.91477065521892
0.417025179095939,5.070117718065686
0.5188785985179963,1.6198464564527693
0.6461106716345119,0.5714050895892949
0.8041996020889342,0.30953658134602685
1.0009740256370292,0.33783447256294347
1.246493882857032,0.18595208039820862
1.5521636511656882,0.22948288183055263
1.9324057544936053,0.16358337356068473
2.4060049875260026,0.09083651804308605
2.9959898197423835,0.05481506573819028
3.73008927507104,0.03945041923210111
4.644080533324115,0.02771241004894025
5.781788823538958,0.01946294515487151
7.198224225460054,0.010686871578174339
8.962142600963231,0.010860272377311533
