Timestamp,UCASS1_counts,UCASS2_counts,UCASS6_counts,n_common_seconds
2026-07-02 06:50:00,7.0,57.0,19.0,300
2026-07-02 06:55:00,2.0,32.0,6.0,300
2026-07-02 07:00:00,2.0,29.0,12.0,300
2026-07-02 07:05:00,2.0,19.0,5.0,300
2026-07-02 07:10:00,1.0,41.0,16.0,300
2026-07-02 07:15:00,1.0,27.0,5.0,300
2026-07-02 07:40:00,0.0,5.0,0.0,300
2026-07-02 07:45:00,1.0,24.0,6.0,300
2026-07-02 07:50:00,0.0,29.0,5.0,300
2026-07-02 07:55:00,3.0,39.0,9.0,300
2026-07-02 08:00:00,2.0,33.0,10.0,300
2026-07-02 08:05:00,2.0,17.0,5.0,300
2026-07-02 08:10:00,3.0,13.0,9.0,300
2026-07-02 08:15:00,0.0,6.0,3.0,300
2026-07-02 08:20:00,3.0,11.0,3.0,300
2026-07-02 08:25:00,2.0,21.0,5.0,300
2026-07-02 08:30:00,13.0,40.0,32.0,300
2026-07-02 08:35:00,2.0,24.0,8.0,300
2026-07-02 08:40:00,5.0,15.0,4.0,300
2026-07-02 08:45:00,0.0,5.0,2.0,300
2026-07-02 08:50:00,0.0,26.0,6.0,300
2026-07-02 08:55:00,0.0,34.0,8.0,300
2026-07-02 09:00:00,0.0,2.0,1.0,300
2026-07-02 09:05:00,0.0,26.0,7.0,300
2026-07-02 09:10:00,0.0,24.0,8.0,300
2026-07-02 09:15:00,0.0,31.0,11.0,300
2026-07-02 09:20:00,0.0,17.0,4.0,300
2026-07-02 09:25:00,0.0,9.0,2.0,300
2026-07-02 09:30:00,0.0,26.0,6.0,300
2026-07-02 09:35:00,0.0,18.0,14.0,300
2026-07-02 09:40:00,0.0,19.0,4.0,300
2026-07-02 09:45:00,0.0,8.0,4.0,300
2026-07-02 09:50:00,0.0,28.0,7.0,300
2026-07-02 09:55:00,0.0,32.0,17.0,300
2026-07-02 10:00:00,0.0,39.0,5.0,300
2026-07-02 10:05:00,0.0,10.0,7.0,300
2026-07-02 10:10:00,0.0,14.0,3.0,300
2026-07-02 10:15:00,0.0,14.0,10.0,300
2026-07-02 10:20:00,0.0,36.0,9.0,300
2026-07-02 10:25:00,0.0,17.0,8.0,300
2026-07-02 10:30:00,0.0,9.0,2.0,300
2026-07-02 10:35:00,0.0,18.0,5.0,300
2026-07-02 10:40:00,0.0,16.0,6.0,300
2026-07-02 10:45:00,0.0,18.0,3.0,300
2026-07-02 10:50:00,0.0,14.0,10.0,300
