Timestamp,UCASS2_counts,UCASS6_counts
2026-07-10 06:55:00,14,5
2026-07-10 07:00:00,4,1
2026-07-10 07:05:00,6,2
2026-07-10 07:10:00,14,4
2026-07-10 07:15:00,11,2
2026-07-10 07:20:00,6,4
2026-07-10 07:25:00,5,1
2026-07-10 07:30:00,4,4
2026-07-10 07:35:00,3,3
2026-07-10 07:40:00,4,1
2026-07-10 07:45:00,13,3
2026-07-10 07:50:00,4,1
2026-07-10 07:55:00,2,0
2026-07-10 08:00:00,9,4
2026-07-10 08:05:00,14,2
2026-07-10 08:10:00,10,1
2026-07-10 08:15:00,1,1
2026-07-10 08:20:00,3,1
2026-07-10 08:25:00,1,0
2026-07-10 08:30:00,10,7
2026-07-10 08:35:00,3,1
2026-07-10 08:40:00,2,0
2026-07-10 08:45:00,1,1
2026-07-10 08:50:00,3,0
2026-07-10 08:55:00,9,0
2026-07-10 09:00:00,2,3
2026-07-10 09:05:00,3,4
2026-07-10 09:10:00,10,1
2026-07-10 09:15:00,10,0
2026-07-10 09:20:00,1,0
2026-07-10 09:25:00,5,0
2026-07-10 09:30:00,2,1
2026-07-10 09:35:00,5,0
2026-07-10 09:40:00,1,0
2026-07-10 09:45:00,2,2
2026-07-10 09:50:00,2,0
2026-07-10 09:55:00,1,0
