Timestamp,UCASS1_counts,UCASS2_counts,UCASS6_counts,n_common_seconds
2026-07-10 07:00:00,6.0,66.0,20.0,600
2026-07-10 07:10:00,15.0,109.0,25.0,600
2026-07-10 07:50:00,2.0,25.0,5.0,600
2026-07-10 08:00:00,4.0,74.0,25.0,600
2026-07-10 08:10:00,3.0,40.0,10.0,600
2026-07-10 08:20:00,2.0,23.0,5.0,600
2026-07-10 08:30:00,8.0,52.0,17.0,600
2026-07-10 08:40:00,2.0,24.0,10.0,600
2026-07-10 08:50:00,10.0,68.0,12.0,600
2026-07-10 09:00:00,12.0,49.0,20.0,600
2026-07-10 09:10:00,6.0,80.0,11.0,600
2026-07-10 09:20:00,2.0,24.0,9.0,600
2026-07-10 09:30:00,3.0,30.0,5.0,600
2026-07-10 09:40:00,1.0,25.0,9.0,600
