Dp_um,dN_dlnDp_cm3,dV_dlnDp_um3_cm3,dM_dlnDp_ug_m3
0.7765307463326871,1.283238639639684,0.3146168791241757,0.8180038857228568
1.7052272575818157,0.18207511420534464,0.4727113300183772,1.2290494580477807
2.4781242906682466,0.06937071557545788,0.5527694728320925,1.4372006293634407
3.1246599815019875,0.034624511468345824,0.5530833347169044,1.4380166702639514
3.668105778191245,0.018971922513979292,0.49027022400898657,1.274702582423365
4.161249812255929,0.01143653439310075,0.43148373398991213,1.1218577083737715
4.678589531044587,0.01711406806354954,0.9176915045241558,2.3859979117628054
5.145298825141257,0.006713497968652919,0.4788277279934044,1.2449520927828515
5.604863959098383,0.007337947137846506,0.6765009779986741,1.7589025427965528
6.061188002363893,0.006553824716294641,0.7641290469991447,1.9867355221977765
6.520398760812102,0.005717925149409387,0.8299645766936963,2.1579078994036105
6.971986804347811,0.0015338602270428107,0.27217866403465346,0.707664526490099
7.420956811624765,0.0031122226266123067,0.6659612969420806,1.7314993720494096
7.891793205602894,0.000300628053519347,0.07736690382691908,0.2011539499499896
10.85080642164443,0.002405024428154776,1.6088077935385774,4.182900263200302
