Dp_um,dN_dlnDp_cm3,dV_dlnDp_um3_cm3,dM_dlnDp_ug_m3
0.6280127387243033,1.7585246961282803,0.2280617505239726,0.5929605513623287
0.7557777451076474,1.8193560515371119,0.4112430960885294,1.0692320498301764
1.1299557513460428,0.44751624536719653,0.33805840544977067,0.8789518541694038
1.7951044537853502,0.5739771612470032,1.7384508137434571,4.519972115732989
2.23678340480253,0.6642876423543748,3.892481808389961,10.120452701813898
2.579767431378263,0.21839009538037293,1.9632392460675936,5.104422039775743
3.316323265304515,0.1227342108710071,2.343877067718429,6.094080376067915
4.263097465458654,0.07144452020658179,2.8982999671756304,7.53557991465664
5.296527164095356,0.04446845208756597,3.459586920239065,8.99492599262157
6.755116579304905,0.015715287468287882,2.5364102367921286,6.594666615659535
8.618816624107977,0.009951090072035646,3.3358936876680194,8.673323587936851
11.067971810589329,0.005657995220703423,4.016662407113129,10.443322258494137
14.265342617687105,0.003856772067261393,5.862315878233791,15.242021283407858
18.743596239782804,0.0006361688885607557,2.193460459841704,5.70299719558843
25.325038993059813,0.0,0.0,0.0
