variable,n,mean,median,min,max,std,variance,coefficient_of_variation_pct,skewness,kurtosis,p05,p25,p50,p75,p95
AirTC_C,131510,28.701069652497907,28.48,22.51,36.24,4.072517762192565,16.585400923373935,14.18942851782573,0.11060999606126856,-1.4279525851771229,23.18,24.72,28.48,32.31,34.72
RH_pct,131510,56.03826530301878,54.65,24.66,82.9,17.134643559536116,293.5960099123525,30.57668446173881,-0.10266939326511539,-1.3115358198529978,29.38,41.96,54.65,73.03,79.98
WS_ms,131510,2.1202115428484527,1.52,0.0,12.16,1.780037250691849,3.168532613850596,83.95564379865662,1.2284869076238416,1.012210629669851,0.28,0.75,1.52,3.08,5.805499999999883
WindDir_deg,131510,181.64322104782906,191.0,0.0,359.0,91.537831750153,8379.17464151932,50.394301104168306,-0.1821256760612164,-1.237213697343367,38.0,98.0,191.0,267.0,303.0
BP_mbar,131510,985.156748536233,985.0,983.0,988.0,1.4545895457991165,2.11583074674808,0.14765056910591912,0.23218997922699688,-1.143136216018828,983.0,984.0,985.0,986.0,987.0
