Timestamp,WindDir_circular_mean_deg
2026-07-09 00:00:00,149.72751433768033
2026-07-09 01:00:00,168.70588446719637
2026-07-09 02:00:00,209.9678815104165
2026-07-09 03:00:00,75.83321706794302
2026-07-09 04:00:00,89.36304795085162
2026-07-09 05:00:00,73.33724228685786
2026-07-09 06:00:00,83.27552313290775
2026-07-09 07:00:00,95.53622942967719
2026-07-09 08:00:00,105.4138548355562
2026-07-09 09:00:00,155.22856887189587
2026-07-09 10:00:00,155.76388275896286
2026-07-09 11:00:00,167.11088683734874
2026-07-09 12:00:00,260.35311584586157
2026-07-09 13:00:00,276.54652888892747
2026-07-09 14:00:00,279.30952763181244
2026-07-09 15:00:00,276.3505171750829
2026-07-09 16:00:00,273.57145952180076
2026-07-09 17:00:00,276.52137296191324
2026-07-09 18:00:00,278.4287837813793
2026-07-09 19:00:00,270.1077396357063
2026-07-09 20:00:00,265.3375814482289
2026-07-09 21:00:00,276.9793811545882
2026-07-09 22:00:00,225.60727166036222
2026-07-09 23:00:00,226.74139940387246
2026-07-10 00:00:00,87.74255377670336
2026-07-10 01:00:00,94.96528038084918
2026-07-10 02:00:00,210.63864964786728
2026-07-10 03:00:00,206.02680478009236
2026-07-10 04:00:00,87.29220694906302
2026-07-10 05:00:00,76.06620514075024
2026-07-10 06:00:00,71.36253101784403
2026-07-10 07:00:00,64.33742287631134
2026-07-10 08:00:00,72.55105276987776
2026-07-10 09:00:00,42.18463671263217
2026-07-10 10:00:00,333.1776858325337
2026-07-10 11:00:00,38.023619497836535
2026-07-10 12:00:00,136.74736423395038
