Timestamp,WS_ms,variable
2026-07-09 09:33:50,6.69,WS_ms
2026-07-09 09:33:52,6.7,WS_ms
2026-07-09 09:33:56,6.84,WS_ms
2026-07-09 09:50:48,6.93,WS_ms
2026-07-09 09:50:49,6.79,WS_ms
2026-07-09 09:51:01,6.81,WS_ms
2026-07-09 09:57:18,6.6,WS_ms
2026-07-09 09:57:20,6.69,WS_ms
2026-07-09 09:57:23,6.71,WS_ms
2026-07-09 09:57:24,7.64,WS_ms
2026-07-09 09:57:25,7.01,WS_ms
2026-07-09 09:57:26,7.0,WS_ms
2026-07-09 09:57:35,6.61,WS_ms
2026-07-09 09:57:36,6.76,WS_ms
2026-07-09 10:00:23,6.82,WS_ms
2026-07-09 10:00:36,8.15,WS_ms
2026-07-09 10:01:14,6.66,WS_ms
2026-07-09 10:01:17,6.75,WS_ms
2026-07-09 10:01:21,7.14,WS_ms
2026-07-09 10:02:13,7.89,WS_ms
2026-07-09 10:02:19,6.63,WS_ms
2026-07-09 10:04:48,7.48,WS_ms
2026-07-09 10:05:32,7.13,WS_ms
2026-07-09 10:05:33,7.63,WS_ms
2026-07-09 10:05:35,6.95,WS_ms
2026-07-09 10:05:37,7.2,WS_ms
2026-07-09 10:11:46,6.8,WS_ms
2026-07-09 10:11:59,7.69,WS_ms
2026-07-09 10:12:00,6.88,WS_ms
2026-07-09 10:12:01,7.19,WS_ms
2026-07-09 10:12:05,6.78,WS_ms
2026-07-09 10:12:11,7.06,WS_ms
2026-07-09 10:12:13,7.12,WS_ms
2026-07-09 10:12:14,7.4,WS_ms
2026-07-09 10:12:15,6.96,WS_ms
2026-07-09 10:12:20,8.41,WS_ms
2026-07-09 10:12:21,7.7,WS_ms
2026-07-09 10:12:51,7.27,WS_ms
2026-07-09 10:12:56,6.59,WS_ms
2026-07-09 10:13:14,7.14,WS_ms
2026-07-09 10:13:19,6.75,WS_ms
2026-07-09 10:13:20,6.89,WS_ms
2026-07-09 10:13:21,7.52,WS_ms
2026-07-09 10:16:52,6.8,WS_ms
2026-07-09 10:16:56,6.66,WS_ms
2026-07-09 10:16:57,6.87,WS_ms
2026-07-09 10:17:13,6.69,WS_ms
2026-07-09 10:17:18,7.56,WS_ms
2026-07-09 10:17:21,6.85,WS_ms
2026-07-09 10:17:23,7.82,WS_ms
2026-07-09 10:17:24,7.45,WS_ms
2026-07-09 10:17:26,6.7,WS_ms
2026-07-09 10:17:27,7.37,WS_ms
2026-07-09 10:17:28,7.62,WS_ms
2026-07-09 10:17:29,6.68,WS_ms
2026-07-09 10:17:30,7.16,WS_ms
2026-07-09 10:17:31,6.66,WS_ms
2026-07-09 10:17:32,7.86,WS_ms
2026-07-09 10:17:33,7.88,WS_ms
2026-07-09 10:17:34,6.99,WS_ms
2026-07-09 10:17:35,7.55,WS_ms
2026-07-09 10:17:36,7.22,WS_ms
2026-07-09 10:17:39,7.37,WS_ms
2026-07-09 10:23:30,6.68,WS_ms
2026-07-09 10:24:29,7.14,WS_ms
2026-07-09 10:24:31,7.57,WS_ms
2026-07-09 10:25:06,7.26,WS_ms
2026-07-09 10:25:13,6.71,WS_ms
2026-07-09 10:25:24,6.96,WS_ms
2026-07-09 10:25:34,7.05,WS_ms
2026-07-09 10:25:40,6.96,WS_ms
2026-07-09 10:31:11,7.29,WS_ms
2026-07-09 10:31:13,6.77,WS_ms
