bin_lower_ms,bin_upper_ms,count,frequency_pct,cumulative_pct
0.0,0.5,17253,13.11915443692495,13.11915443692495
0.5,1.0,28832,21.923808075431527,35.042962512356475
1.0,1.5,18852,14.335031556535625,49.3779940688921
1.5,2.0,14403,10.95201885788153,60.33001292677363
2.0,2.5,9968,7.5796517375104555,67.90966466428408
2.5,3.0,8050,6.121207512736674,74.03087217702075
3.0,3.5,7150,5.436848908828226,79.46772108584898
3.5,4.0,5872,4.465059691278229,83.93278077712722
4.0,4.5,5014,3.812637822218843,87.74541859934605
4.5,5.0,4297,3.2674321344384456,91.0128507337845
5.0,5.5,3492,2.6553113831647783,93.66816211694928
5.5,6.0,2723,2.0705649760474487,95.73872709299673
6.0,6.5,1945,1.4789749828910348,97.21770207588777
6.5,7.0,1436,1.0919321724583682,98.30963424834613
7.0,7.5,927,0.7048893620257015,99.01452361037184
7.5,8.0,603,0.4585202646186602,99.4730438749905
8.0,8.5,350,0.26613945707550757,99.739183332066
8.5,9.0,177,0.13459052543532812,99.87377385750133
9.0,9.5,78,0.05931107900539883,99.93308493650673
9.5,10.0,50,0.03801992243935822,99.97110485894609
10.0,10.5,22,0.01672876587331762,99.9878336248194
10.5,11.0,12,0.009124781385445974,99.99695840620485
11.0,11.5,2,0.001520796897574329,99.99847920310242
11.5,12.0,1,0.0007603984487871645,99.99923960155121
12.0,12.5,1,0.0007603984487871645,100.0
12.5,13.0,0,0.0,100.0
13.0,13.5,0,0.0,100.0
13.5,14.0,0,0.0,100.0
14.0,14.5,0,0.0,100.0
14.5,15.0,0,0.0,100.0
